id,timestamp,category,sub_category,zone,ward,latitude,longitude,description,source,status,severity,closed_timestamp,resolution_days
ef70486a-6059-47a3-924a-deb1d07b6fb3,2025-11-04T01:11:15.979938,Stray Animals,Cattle on road,East,Ward 3,22.297611587643676,73.40658360021727,Urgent help needed for cattle on road near Waghodia Road.,WhatsApp,Resolved,Medium,2025-11-15T15:11:15.979938,11.58
f248754c-91cf-484a-907c-a2d6c90df2c7,2025-12-30T09:24:43.979938,Drainage,Clogged drain,South,Ward 4,22.280506763140536,73.19652256772622,Severe clogged drain observed near Pratapnagar.,Nagar Nigam App,In Progress,High,,
469921a5-c874-44fb-9769-74664572f725,2025-05-28T10:25:57.979938,Encroachment,Hawkers on road,South,Ward 12,22.254683022527786,73.19613523252363,Severe hawkers on road observed near Makarpura.,Nagar Nigam App,In Progress,Medium,,
134fd612-bfcf-406d-95be-de4a9746a179,2025-03-29T02:10:26.979938,Garbage,Garbage not collected,South,Ward 16,22.24105612030008,73.21314015894755,garbage not collected reported multiple times but no action at Tarsali.,Website,In Progress,High,,
4d1a6f9a-ec4b-4512-b55c-61dd1b6e30c3,2025-10-28T08:04:44.979938,Stray Animals,Cattle on road,South,Ward 18,22.24258413159673,73.19435957537841,Severe cattle on road observed near Maneja.,Twitter,Closed,Medium,2025-11-03T23:04:44.979938,6.62
5b588a6f-ba37-439d-9d2d-4122400a7bd5,2026-01-29T00:48:02.979938,Garbage,Dead animal on road,South,Ward 4,22.28562021136581,73.19656485219566,"Please fix dead animal on road near Pratapnagar, it is causing problems.",Website,Open,Critical,,
3b0274d5-4df3-4e4d-ba2a-c5e70328ddf8,2026-01-14T05:50:31.979938,Garbage,Garbage not collected,North,Ward 13,22.350656775397827,73.18474981392899,garbage not collected since last 3 days in Chhani area.,WhatsApp,In Progress,High,,
c7264569-6253-4997-8835-521725d82479,2025-04-08T18:31:42.979938,Encroachment,Hawkers on road,East,Ward 9,22.31204129177244,73.24464103824512,"Please fix hawkers on road near Ajwa Road, it is causing problems. Very bad smell.",Website,Closed,Critical,2025-04-08T23:31:42.979938,0.21
c1670604-2570-41df-82d1-55e2f3372b23,2025-12-06T17:46:59.979938,Traffic,Wrong side driving,South,Ward 4,22.29259591336044,73.2097321233399,Urgent help needed for wrong side driving near Pratapnagar. Very bad smell.,Website,Resolved,High,2025-12-17T22:46:59.979938,11.21
b2afcb7d-418e-431a-92df-b74af781fa2e,2025-12-09T06:27:40.979938,Water,No water supply,South,Ward 18,22.242826142706587,73.18470999959877,"Please fix no water supply near Maneja, it is causing problems. Kids are playing nearby, dangerous.",WhatsApp,In Progress,Low,,
20b36013-882c-4852-8a5f-94c454878b1e,2026-01-26T07:40:29.979938,Stray Animals,Stray dog menace,West,Ward 15,22.315958994711515,73.13805819291318,Facing stray dog menace daily at Gotri.,Call Center,Open,Low,,
6cec8196-52af-45b9-95a0-263dca51eb02,2025-06-17T22:15:25.979938,Drainage,Open manhole,South,Ward 4,22.285197087900897,73.21237014416701,open manhole reported multiple times but no action at Pratapnagar.,Website,In Progress,High,,
28f8933e-80aa-4fdc-b6f4-52dc97e8580d,2025-02-03T15:48:53.979938,Road,Resurfacing needed,North,Ward 19,22.343182739725513,73.19851640458626,Severe resurfacing needed observed near Sama.,WhatsApp,Closed,Low,2025-02-09T19:48:53.979938,6.17
9486eaa9-a222-492f-81b3-41a4c0b2398b,2025-09-09T10:54:59.979938,Garbage,Burning garbage,West,Ward 14,22.34177147854206,73.15276057115909,"Gorwa has burning garbage, please check.",Call Center,In Progress,Low,,
