resolution_id,complaint_id,department,assigned_officer,work_order_date,resolution_type,materials_used,cost_inr,verified_by_supervisor,citizen_rating,remarks
6d11e011-2090-42d9-a1f6-ccb32f189ae8,b83af842-59b9-46c5-85c4-72987ffa1fe1,VMC Electrical Dept,Officer R,2024-08-13T17:22:06,Pole Fix,LED Driver,2490,Yes,5,Work completed successfully.
5c0e0836-1c3b-4f63-8ce9-0732e5c0297e,3f7b4b1b-4572-44e1-a667-8f6fdbf9b028,VMC Drainage Projects,Officer W,2024-12-26T12:54:43,Manhole Cover Replacement,Concrete Cover,4967,Yes,4,Work completed successfully.
622d162d-3910-412d-b6ad-fb892b663425,74ac9b26-8e05-4cb9-abc4-1104a560b354,VMC Water Works,Officer H,2025-08-20T23:27:41,Leakage Plug,Chlorine Tablet,5230,Yes,5,Work completed successfully.
8e33f209-dbcf-4eb0-984a-1cdbebf11211,254d316d-eb4d-4b9a-bef2-3ba9e967d4f7,VMC Drainage Projects,Officer O,2024-08-20T01:52:38,Line Clearing,Concrete Cover,11677,Yes,3,Citizen requested rework.
b1774781-5bd6-4f37-b154-a0a15f453ed9,91de73d4-61f4-44d0-bee7-a8ea02c4bcfe,VMC Solid Waste Mgmt,Officer R,2024-03-29T20:51:10,Site Clearance,Fuel/Labor,297,Yes,4,Work completed successfully.
e755a9c4-7a1d-446f-890d-132784caaf7d,c0246029-a744-403b-b155-cec11f0b4ed4,Hydraulic Dept,Officer S,2025-04-22T13:07:44,Contamination Check,Clamp,1358,Yes,4,Work completed successfully.
ffe0a022-1696-42c1-8c8d-317d1aa8161b,316f147b-fa85-45c4-a425-0f3d5fe40c26,VMC Solid Waste Mgmt,Officer Q,2024-10-07T11:23:18,Site Clearance,Fuel/Labor,355,No (Pending Check),4,Work completed successfully.
e02bd7cd-360e-4bfa-944b-558a760fe948,f8a2b5de-b588-447a-bd21-322503ad3711,VMC Electrical Dept,Officer X,2025-05-27T11:46:23,Wiring Repair,Fuse,4706,Yes,4,Work completed successfully.
ef5dbb30-18d6-4d9a-9080-8893692a4527,f5b38637-77d0-4386-90db-de4e91117c1c,Engineering Wing,Officer H,2025-01-08T07:37:03,Resurfacing,Paver Blocks,9291,Yes,5,Work completed successfully.
813ff921-1a28-4a7d-9188-7db360fac1c6,ababf9ec-f924-4662-9b3d-6666541ac8f6,Engineering Wing,Officer O,2024-12-29T18:20:05,Resurfacing,Paver Blocks,46485,Yes,3,Citizen requested rework.
4609ada1-0e58-43de-9561-c895f0208471,3632c3e0-453d-4e47-ab58-f7e859a2515f,Estate Dept,Officer W,2025-01-13T08:41:48,Standard Fix,None,0,No (Pending Check),4,Work completed successfully.
48f92acd-9500-46f1-93c9-e03750d32d44,a0676faa-f8a8-4c45-814f-682971d79092,GETCO,Officer Z,2025-11-13T20:58:08,Cable Jointing,Electrical Components,5015,Yes,4,Work completed successfully.
c552383b-a8e2-425d-8e7e-1f9f54def35f,187e0370-46ec-4399-b29c-4f3084596a8b,Hydraulic Dept,Officer D,2025-08-31T20:17:29,Valve Replacement,Clamp,7984,Yes,5,Work completed successfully.
4183e967-9dbd-4725-9daf-ba67fcfd28d5,dbe6d56a-86f0-4abc-87fa-7a3a54ffa76a,Sewerage Board,Officer F,2025-03-18T22:47:21,Desilting,Pipes,9819,No (Pending Check),5,Work completed successfully.
80157b5a-9f2d-40dc-b5a1-c4310521a9e7,3b65a193-878d-40f9-a17f-b02d2983f039,VMC Water Works,Officer Q,2024-09-12T20:15:49,Valve Replacement,Valve,6802,No (Pending Check),3,Citizen requested rework.
10550c7c-1ff5-4f59-805a-74faa3163820,28eb79ce-d4e2-46b1-9912-a5aec8813d4a,Hydraulic Dept,Officer V,2024-02-03T01:16:27,Valve Replacement,Valve,3319,Yes,5,Work completed successfully.
98633fff-02c8-46c2-adbf-97b309abe170,ceb7d8c4-fe75-4466-928d-fc2f22170738,VMC Traffic Cell,Officer N,2024-05-05T00:03:55,Standard Fix,None,0,Yes,5,Work completed successfully.
40eaee97-4a49-4f35-9b0a-bdbee0699d33,195c8926-1602-4648-8cd2-08e7da8107e4,VMC Solid Waste Mgmt,Officer C,2025-09-04T12:06:14,Site Clearance,Fuel/Labor,515,Yes,4,Work completed successfully.
20c3e794-4571-4567-abc4-a8b71fd341c4,2c477995-fd86-4875-b02e-9f6318366957,VMC Solid Waste Mgmt,Officer Y,2024-09-19T16:16:35,Site Clearance,Fuel/Labor,658,Yes,5,Work completed successfully.
b18a7127-44c7-4d58-98de-c530e4a7de96,28520fd5-9779-4f1f-b749-1bb880f2f112,Animal Shelter NGO,Officer P,2025-02-09T18:36:54,Standard Fix,None,0,Yes,5,Work completed successfully.
a549a849-93e3-4413-80c4-0af70bef6c11,b77ff584-a717-440f-9428-1ae2ffd1c4fd,VMC Electrical Dept,Officer K,2024-11-16T08:39:12,Wiring Repair,LED Driver,2867,Yes,5,Work completed successfully.
074ed506-c3ef-45ab-9552-2145b7038736,7d65d461-d572-4ee7-9602-42b18e32fa8b,Hydraulic Dept,Officer C,2025-06-25T17:11:53,Leakage Plug,Clamp,1919,Yes,5,Work completed successfully.
cc15e8bd-0b5f-45e2-bd5d-a7fb4bb6347e,a54bc3c9-fdd8-486d-8900-e7ad496ef3f3,VMC Roads Dept,Officer H,2025-02-11T07:45:31,Patch Work,Cold Mix,49873,Yes,5,Work completed successfully.
08650f1e-3752-48ce-a488-abe0f8a7b4ab,b1c49d93-2152-49e4-9303-9cd15ca223d8,MGVCL (Power),Officer D,2024-06-12T22:21:40,Cable Jointing,Electrical Components,7765,Yes,5,Work completed successfully.
6189b5a8-cb5b-40c1-8359-e8117a3efa13,82cb7de7-b2a5-402b-9579-d84fd1815a69,Traffic Police,Officer K,2025-02-18T18:12:51,Standard Fix,None,0,Yes,4,Work completed successfully.
cd19fe27-9b8b-4e0e-9a91-862e6fa6ca47,0b11c893-123f-4ec2-beff-201ee6cd35f8,VMC Traffic Cell,Officer Y,2025-06-29T00:09:33,Standard Fix,None,0,Yes,4,Work completed successfully.
4c131c09-87c0-4464-8adb-11c213e275c5,69c41a70-9ccd-4fb1-936f-53da6dbf50ff,VMC Drainage Projects,Officer O,2025-11-18T04:47:46,Line Clearing,Jetting Machine,4717,Yes,3,Citizen requested rework.
2200c0cf-c26d-438f-9587-d6218fb8e40b,556a3b82-08fd-4746-ae8b-8b681eb13160,VMC Roads Dept,Officer D,2024-08-07T19:21:37,Patch Work,Bitumen Mix,17577,Yes,4,Work completed successfully.
8d008e37-9732-4c36-a06b-60af66e5f495,d01598d4-e8eb-4442-867d-9d8c8bddf46b,Contractor-XYZ,Officer K,2025-05-12T06:21:08,Site Clearance,Fuel/Labor,707,Yes,3,Citizen requested rework.
39968347-f46b-403c-b325-c924663b5c25,b5f88b45-3026-486b-ae90-a5d29f199447,Animal Shelter NGO,Officer M,2025-04-05T08:22:42,Standard Fix,None,0,Yes,4,Work completed successfully.
299a7b75-08fd-46ff-85c7-e2768ec9664e,96c4ba0c-e33b-408b-ac52-6fe1a16f09c4,Hydraulic Dept,Officer G,2026-01-20T23:48:25,Leakage Plug,Chlorine Tablet,7434,Yes,5,Work completed successfully.
9ace9609-cb54-4dc8-b2d1-afa744942327,741ae8d7-e18c-4ad8-ba21-82b6977a2dfc,Sewerage Board,Officer X,2025-05-16T21:49:23,Desilting,Jetting Machine,12804,No (Pending Check),4,Work completed successfully.
9ffc5bfe-4405-41ba-beeb-f6277e75a9c1,1279d910-75ba-4856-acc9-f791e2932bbe,VMC Roads Dept,Officer F,2025-10-05T09:11:38,Resurfacing,Paver Blocks,33705,Yes,5,Work completed successfully.
394774c3-785e-4a9d-b56b-34db3621ae48,51ae9ca2-7a3f-4ef0-abfd-c8fb2bd91bdd,Estate Dept,Officer U,2025-02-18T20:17:51,Standard Fix,None,0,No (Pending Check),5,Work completed successfully.
4ce3f143-3ebe-4c2f-8c10-70fe5b2f5f56,ee85df5b-f5c7-49d5-8b7e-6373148d0bc7,GETCO,Officer I,2025-05-27T17:06:06,Fuse Repair,Electrical Components,2466,Yes,5,Work completed successfully.
6389f7d3-f2cd-40b9-b939-5e5e69d7a973,60ff9a0d-5e53-4d46-8e20-878526732d62,VMC Traffic Cell,Officer Z,2024-07-16T08:55:02,Standard Fix,None,0,Yes,5,Work completed successfully.
4bcea4fc-d60a-46c5-be94-89b43c1372a4,6553d5f7-31e4-43dc-8244-308c1bf0148d,VMC Drainage Projects,Officer E,2024-11-21T07:01:23,Manhole Cover Replacement,Jetting Machine,1384,No (Pending Check),4,Work completed successfully.
d4c05b4e-bdd1-40c6-bcfb-25729a5a0bce,d9862a28-a334-4c8c-a5eb-debc68f5b41b,VMC Town Planning,Officer K,2024-07-24T00:25:48,Standard Fix,None,0,Yes,5,Work completed successfully.
f4c2d25b-babf-48ac-b057-ff4735c0e2ea,1a0a78eb-f8e6-41b1-aceb-bddf2a0b5321,VMC Solid Waste Mgmt,Officer A,2025-11-28T17:26:12,Site Clearance,Fuel/Labor,828,No (Pending Check),4,Work completed successfully.
6fe7c1be-65d9-454d-a6f6-dcd75e43ab2a,7a2fc038-e529-4381-a2fe-b35319cfe3fd,VMC Solid Waste Mgmt,Officer I,2025-01-01T04:39:25,Site Clearance,Fuel/Labor,842,Yes,4,Work completed successfully.
a03ed817-2f3a-48ba-bc08-873c3f2705d5,396e235f-55e6-42ac-8353-e0cd2864e4dd,VMC Solid Waste Mgmt,Officer C,2025-09-12T06:37:27,Site Clearance,Fuel/Labor,787,Yes,5,Work completed successfully.
72b318a2-ef81-4799-a63a-0c3de82ea107,be247082-25fa-423a-8bf7-40aefd4912c2,VMC Cattle Nuisance Control,Officer M,2024-09-14T21:02:05,Standard Fix,None,0,Yes,5,Work completed successfully.
eaa72736-5edd-4b6f-a68e-afa078d62011,e76887b9-dee0-4d03-81f9-96ce64c852b9,Engineering Wing,Officer E,2025-08-03T13:32:44,Resurfacing,Cold Mix,49748,No (Pending Check),5,Work completed successfully.
c44da525-f061-44ca-92a6-18b51a5f4f01,da350fdb-6e64-4365-8e40-cf855de85eaf,VMC Drainage Projects,Officer K,2025-03-02T21:27:54,Desilting,Concrete Cover,4666,Yes,5,Work completed successfully.
f3705c49-245c-4a9e-acc4-d9e2ccd14cce,0bb7242d-56b3-459f-a14f-f7a1460f4210,GETCO,Officer H,2025-12-02T04:32:04,Cable Jointing,Electrical Components,1932,No (Pending Check),5,Work completed successfully.
7d7b1287-1ea1-4524-a8a1-a8b2aeaa41b0,5798299a-ed63-4a79-8c8f-a90e2599ec7f,VMC Town Planning,Officer A,2025-04-25T11:57:57,Standard Fix,None,0,No (Pending Check),3,Citizen requested rework.
a3f8be42-96be-4770-b30b-e2dff5ebc681,0559fb05-db60-4b33-8c07-14bbde0a057a,VMC Cattle Nuisance Control,Officer G,2025-08-24T12:55:17,Standard Fix,None,0,Yes,3,Citizen requested rework.
1134659f-cae2-46b0-9bb0-033fbbb94950,ba0023ac-1f0a-4cdf-b9ec-3d1e602f1131,VMC Electrical Dept,Officer N,2025-04-27T11:30:48,Wiring Repair,LED Driver,4683,Yes,5,Work completed successfully.
880f6971-324b-479d-8ea8-11b27b4051fc,c8aea00b-7dac-4b5c-93b5-6c4c5afa92fe,GETCO,Officer P,2025-04-17T21:01:04,Fuse Repair,Electrical Components,9580,No (Pending Check),5,Work completed successfully.
a8644eaf-f432-4c81-8d58-968282ba5ea3,ca2bce06-a4be-4942-ab34-e09169950809,VMC Drainage Projects,Officer X,2024-05-27T11:14:14,Desilting,Concrete Cover,10206,Yes,3,Citizen requested rework.
47b9550c-37f9-4282-9ae0-52ca54e0dba8,86831eb6-2f70-4cdb-9d15-8cc1b78d5385,Contractor-XYZ,Officer E,2025-06-12T19:29:52,Site Clearance,Fuel/Labor,702,Yes,5,Work completed successfully.
0b615ba3-4527-4296-b68f-c72ce4a4b777,cca888ca-014d-4504-8cb7-2a5b47829ca3,VMC Electrical Dept,Officer F,2025-10-13T08:57:04,Wiring Repair,LED Driver,2826,Yes,5,Work completed successfully.
62a37aa8-1177-484c-8be9-a642d0e5b229,4fb7e3b7-0c00-4a94-8c65-961fe7f37e0a,Hydraulic Dept,Officer O,2025-03-17T11:28:25,Leakage Plug,Clamp,6289,Yes,4,Work completed successfully.
d2596096-57dc-43cc-8994-f0825bf57489,004e3569-5bf0-4071-add6-ba6cb859fcd8,VMC Solid Waste Mgmt,Officer K,2025-07-21T18:12:36,Site Clearance,Fuel/Labor,844,Yes,5,Work completed successfully.
c625704e-4b23-4a58-af76-d81f22234e4a,92b79528-74d8-4df2-b2e5-1d7985ed56a5,Animal Shelter NGO,Officer Z,2024-10-28T03:40:41,Standard Fix,None,0,No (Pending Check),5,Work completed successfully.
5c05642d-4386-49a3-8e69-2c66ca0d06da,5aa8ae52-5ca2-492c-a327-57a6a6cc7662,VMC Water Works,Officer P,2024-10-17T05:35:18,Leakage Plug,Chlorine Tablet,7440,Yes,5,Work completed successfully.
ab19b3d2-6850-4c28-ba2f-078b58bf0c72,e879ef7f-6654-4afc-977b-1b7f3fde51cc,VMC Solid Waste Mgmt,Officer I,2024-08-19T08:08:41,Site Clearance,Fuel/Labor,910,Yes,4,Work completed successfully.
ec749cbb-d4d2-424e-be49-6d144a6e47ea,0b423b7d-e641-4a04-963c-cea4de20e881,Contractor-XYZ,Officer V,2025-06-25T15:08:46,Site Clearance,Fuel/Labor,619,Yes,5,Work completed successfully.
2f0b1891-3e6b-4c19-a6e9-9236031281b3,aeba1fc3-2f24-496b-80e4-301437795552,GETCO,Officer K,2025-04-25T13:38:43,Transformer Maint,Electrical Components,1184,No (Pending Check),5,Work completed successfully.
e5f9247b-ab41-4f25-9fd5-f1fca058f7d8,ae7edc4d-9d02-4214-b138-b9b9bb958a83,VMC Cattle Nuisance Control,Officer I,2025-06-28T13:18:37,Standard Fix,None,0,Yes,5,Work completed successfully.
9b7c0d0d-64c9-4032-9225-3c1bb50a758b,7ab0b1f6-b918-4c66-9c57-4f15d3604c62,MGVCL (Power),Officer Q,2025-07-01T11:50:15,Transformer Maint,Electrical Components,352,Yes,4,Work completed successfully.
ee3f172e-d0d3-4021-986e-aa3a99619242,1f5df3dc-6ed8-439c-beb5-79a4d3188213,Contractor-ABC,Officer J,2025-07-02T10:19:12,Bulb Replacement,Cable,4999,No (Pending Check),5,Work completed successfully.
6f60bbd8-240c-42ac-9f0d-b58a24913e45,8c95ac6c-0047-442d-af3b-d28fee57fa44,VMC Electrical Dept,Officer I,2024-10-08T22:14:37,Bulb Replacement,Cable,3827,Yes,5,Work completed successfully.
478223b6-3e40-4682-8d08-90af79cd1f2f,b41540b1-b765-4e80-a47a-9def6a58b39b,VMC Traffic Cell,Officer N,2024-08-08T01:06:58,Standard Fix,None,0,Yes,5,Work completed successfully.
05054848-981e-4b9f-b992-f889c09b3a95,0002d1fa-4a02-424d-b400-3a945ae2db86,Contractor-ABC,Officer T,2025-05-07T16:11:45,Bulb Replacement,Cable,4714,No (Pending Check),5,Work completed successfully.
1e4c1b3b-cb4d-40a0-9e44-6a48758c1fe0,fac619ae-cb3e-46a7-8d65-7299dcc44ec9,Animal Shelter NGO,Officer M,2025-09-10T10:08:23,Standard Fix,None,0,Yes,5,Work completed successfully.
a1684e9c-5701-4305-9d9c-b07c7917a6bc,4b62d88f-ce2c-4a32-bc1b-8e9147c18daf,Estate Dept,Officer U,2025-02-19T01:29:56,Standard Fix,None,0,No (Pending Check),5,Work completed successfully.
6f973a1b-dceb-41f9-8826-16f47420eb18,abf04d3a-fb22-43d2-81f5-bcfe1623f77b,VMC Water Works,Officer Y,2026-01-29T09:03:11,Leakage Plug,Chlorine Tablet,4339,Yes,5,Work completed successfully.
99223323-62f0-4e14-b611-c88f47e8a17b,860ba997-43ce-421f-832e-343daa0ff5d6,Contractor-ABC,Officer D,2025-07-03T04:22:46,Wiring Repair,Cable,3602,Yes,5,Work completed successfully.
