accident_id,timestamp,location_name,latitude,longitude,primary_vehicle,secondary_vehicle,cause,severity,weather_condition,casualties,police_station_jurisdiction,description
aee2a96a-2f0b-46ff-a3e3-920349b11efe,2025-11-07T00:26:44.639795,Kapurai Bridge (NH-48),22.259637783788623,73.21940314118098,Pedestrian,Truck,Brake Failure,Property Damage Only,Clear,0,Vadodara Rural,Property Damage Only accident at Kapurai Bridge (NH-48) involving Pedestrian and Truck. Cause: Brake Failure.
b545440a-d067-4e26-9cc7-d95a9d5a18af,2024-10-03T21:30:38.639795,Chhani Jakat Naka,22.35329643914913,73.18375544606941,Auto Rickshaw,Truck,Overtaking,Major Injury,Clear,1,Harni,Major Injury accident at Chhani Jakat Naka involving Auto Rickshaw and Truck. Cause: Overtaking.
3b950485-8e8e-4861-83f1-2880a1d30301,2025-12-22T05:09:36.639795,Darjipura,22.33171655389758,73.24129680543244,Truck,Bus,Stray Cattle,Major Injury,Clear,1,Harni,Major Injury accident at Darjipura involving Truck and Bus. Cause: Stray Cattle.
97beec7b-74c3-41ef-a8a9-274ed6cd439d,2025-02-07T01:44:33.639795,Kapurai Bridge (NH-48),22.257002608257494,73.21725822264364,Pedestrian,Auto Rickshaw,Brake Failure,Property Damage Only,Clear,0,Vadodara Rural,Property Damage Only accident at Kapurai Bridge (NH-48) involving Pedestrian and Auto Rickshaw. Cause: Brake Failure.
6f66e893-5958-4dc5-ace8-6fd682c115e6,2025-03-12T08:57:22.639795,Chhani Jakat Naka,22.355705593975607,73.18332583060344,Truck,Tree,Overtaking,Property Damage Only,Clear,0,Harni,Property Damage Only accident at Chhani Jakat Naka involving Truck and Tree. Cause: Overtaking.
8153cfac-6d03-4d42-965f-bb904d733af4,2024-04-19T05:18:09.639795,Kapurai Bridge (NH-48),22.25723611236601,73.21690261674154,Auto Rickshaw,None,Stray Cattle,Minor Injury,Clear,0,Vadodara Rural,Minor Injury accident at Kapurai Bridge (NH-48) involving Auto Rickshaw and None. Cause: Stray Cattle.
2d7c66e2-1243-4f13-8f35-d1a3c38311a7,2026-01-20T16:00:58.639795,Chhani Jakat Naka,22.356367342925147,73.18439890730762,Two-Wheeler,None,Speeding,Minor Injury,Clear,0,Harni,Minor Injury accident at Chhani Jakat Naka involving Two-Wheeler and None. Cause: Speeding.
d07f9bdb-b85b-4159-947c-3bd4826feca4,2025-03-22T22:25:14.639795,Padamla,22.3791244860129,73.14902075025401,Pedestrian,None,Stray Cattle,Property Damage Only,Clear,0,Vadodara Rural,Property Damage Only accident at Padamla involving Pedestrian and None. Cause: Stray Cattle.
38eeadf2-70ec-4a69-984d-702545a13e33,2024-06-28T03:16:01.639795,Golden Chowkdi,22.343907491153928,73.23649580234205,Truck,None,Overtaking,Minor Injury,Clear,0,Harni,Minor Injury accident at Golden Chowkdi involving Truck and None. Cause: Overtaking.
6114b3a1-43a2-4e57-b1c2-eab9325acd86,2025-07-04T08:50:28.639795,Padamla,22.378146648781627,73.14873079256957,Bus,Two-Wheeler,Stray Cattle,Major Injury,Clear,1,Vadodara Rural,Major Injury accident at Padamla involving Bus and Two-Wheeler. Cause: Stray Cattle.
4a240686-138f-43c5-b7a4-47165acaddd3,2024-02-16T14:02:53.639795,Golden Chowkdi,22.34600204773046,73.23665359909444,Bus,None,Speeding,Minor Injury,Clear,0,Harni,Minor Injury accident at Golden Chowkdi involving Bus and None. Cause: Speeding.
261cbc86-967f-4cc2-8272-930caf405425,2024-06-03T19:49:19.639795,Tarsali Bridge,22.24323338463953,73.20644785530796,Car,Auto Rickshaw,Brake Failure,Major Injury,Rainy,2,Makarpura,Major Injury accident at Tarsali Bridge involving Car and Auto Rickshaw. Cause: Brake Failure.
8fd2d03d-aca8-493e-8cd7-6d2021fc66c7,2024-11-22T03:41:40.639795,Kapurai Bridge (NH-48),22.258164558811295,73.21923700258276,Pedestrian,Tree,Pothole,Property Damage Only,Clear,0,Vadodara Rural,Property Damage Only accident at Kapurai Bridge (NH-48) involving Pedestrian and Tree. Cause: Pothole.
a049d370-adc4-45d2-ab21-e818a09ddeae,2025-06-30T23:22:24.639795,Padamla,22.381342230235713,73.15116396265641,Pedestrian,Pedestrian,Stray Cattle,Major Injury,Rainy,2,Vadodara Rural,Major Injury accident at Padamla involving Pedestrian and Pedestrian. Cause: Stray Cattle.
60f313bb-76f4-43fb-a9b1-8d6dae3de5f9,2025-10-14T19:49:59.639795,Dena Intersection,22.33402816173288,73.25199462703274,Auto Rickshaw,Bus,Overtaking,Minor Injury,Clear,0,Harni,Minor Injury accident at Dena Intersection involving Auto Rickshaw and Bus. Cause: Overtaking.
33939490-d9fa-4e99-87c5-217521820630,2024-06-07T02:28:31.639795,Kapurai Bridge (NH-48),22.258938331500225,73.21692336666737,Auto Rickshaw,Two-Wheeler,Drunk Driving,Property Damage Only,Rainy,0,Vadodara Rural,Property Damage Only accident at Kapurai Bridge (NH-48) involving Auto Rickshaw and Two-Wheeler. Cause: Drunk Driving.
33cf925c-e738-4f92-b858-5fca7f8d037e,2025-12-27T23:00:19.639795,Chhani Jakat Naka,22.35474077826586,73.18495376760382,Car,Pedestrian,Stray Cattle,Minor Injury,Clear,0,Harni,Minor Injury accident at Chhani Jakat Naka involving Car and Pedestrian. Cause: Stray Cattle.
adfb417b-bea6-4f4b-9f84-361f5d3f8a00,2024-02-23T18:10:26.639795,Darjipura,22.328726390391754,73.23937471809707,Two-Wheeler,Auto Rickshaw,Wrong Side Driving,Major Injury,Clear,2,Harni,Major Injury accident at Darjipura involving Two-Wheeler and Auto Rickshaw. Cause: Wrong Side Driving.
756150e7-512b-4451-ab8d-139a92d121d8,2025-11-10T14:39:43.639795,Kapurai Bridge (NH-48),22.25905342147792,73.21947527621738,Two-Wheeler,Divider,Brake Failure,Major Injury,Clear,2,Vadodara Rural,Major Injury accident at Kapurai Bridge (NH-48) involving Two-Wheeler and Divider. Cause: Brake Failure.
fb587fc1-9ccc-4944-afcc-97ac8f7e008f,2024-09-02T13:48:47.639795,Kapurai Bridge (NH-48),22.257349428015246,73.21831895735143,Bus,Tree,Stray Cattle,Minor Injury,Clear,0,Vadodara Rural,Minor Injury accident at Kapurai Bridge (NH-48) involving Bus and Tree. Cause: Stray Cattle.
4178ceef-921c-4b0c-9b96-945c0debcc6c,2025-05-02T07:41:21.639795,Golden Chowkdi,22.345680219127505,73.23398522625565,Bus,None,Brake Failure,Fatal,Clear,1,Harni,Fatal accident at Golden Chowkdi involving Bus and None. Cause: Brake Failure.
c31c81e2-244c-4885-b2d5-598b93f04b0a,2025-12-28T02:31:41.639795,Golden Chowkdi,22.34539212867302,73.23698748384062,Bus,Tree,Brake Failure,Fatal,Clear,1,Harni,Fatal accident at Golden Chowkdi involving Bus and Tree. Cause: Brake Failure.
ccd890b6-e3c6-4ed9-aeb2-ac5999be1982,2025-11-28T16:36:16.639795,Chhani Jakat Naka,22.356573329617973,73.18698394965601,Car,Pedestrian,Pothole,Fatal,Clear,1,Harni,Fatal accident at Chhani Jakat Naka involving Car and Pedestrian. Cause: Pothole.
093ab72d-683d-4190-b0e6-bf7a42ab5cca,2024-05-25T19:18:30.639795,Dena Intersection,22.333878033917273,73.24805095082695,Truck,None,Stray Cattle,Fatal,Clear,1,Harni,Fatal accident at Dena Intersection involving Truck and None. Cause: Stray Cattle.
f9635e0b-1c52-4b49-8f5a-f313fbf5ee26,2025-07-13T14:07:55.639795,Darjipura,22.330168174591513,73.2406341807273,Two-Wheeler,Car,Speeding,Minor Injury,Clear,0,Harni,Minor Injury accident at Darjipura involving Two-Wheeler and Car. Cause: Speeding.
0ea73fb2-a6b7-4edd-a5e1-67cc2785b7bd,2025-06-18T04:12:51.639795,Padamla,22.378829286214216,73.15033267241209,Pedestrian,None,Speeding,Fatal,Clear,1,Vadodara Rural,Fatal accident at Padamla involving Pedestrian and None. Cause: Speeding.
63059dc1-dec1-4f71-861d-9e2342dc7f62,2024-03-02T07:47:02.639795,Kapurai Bridge (NH-48),22.256909721446466,73.2161592120508,Truck,None,Stray Cattle,Minor Injury,Clear,0,Vadodara Rural,Minor Injury accident at Kapurai Bridge (NH-48) involving Truck and None. Cause: Stray Cattle.
25a301dc-a060-4e2b-b685-4bff82b07724,2025-10-23T10:51:46.639795,Padamla,22.379067971477223,73.15134148614018,Two-Wheeler,Car,Drunk Driving,Property Damage Only,Clear,0,Vadodara Rural,Property Damage Only accident at Padamla involving Two-Wheeler and Car. Cause: Drunk Driving.
01c328c9-9306-42a4-a4d1-e6a4ca1f72f0,2024-08-19T20:37:46.639795,Tarsali Bridge,22.24577274398578,73.20635612661961,Two-Wheeler,Divider,Brake Failure,Property Damage Only,Rainy,0,Makarpura,Property Damage Only accident at Tarsali Bridge involving Two-Wheeler and Divider. Cause: Brake Failure.
44f3f34f-18e3-437d-b62f-32fa5e7eef8e,2024-02-25T23:11:19.639795,Chhani Jakat Naka,22.35380667789926,73.18429010532442,Pedestrian,Auto Rickshaw,Wrong Side Driving,Fatal,Clear,3,Harni,Fatal accident at Chhani Jakat Naka involving Pedestrian and Auto Rickshaw. Cause: Wrong Side Driving.
74db1ee9-38cc-4228-a626-5f44fa346abe,2025-04-27T18:42:16.639795,Darjipura,22.32843006190601,73.24001355355608,Car,Car,Overtaking,Major Injury,Clear,2,Harni,Major Injury accident at Darjipura involving Car and Car. Cause: Overtaking.
d35ee6ae-6a1f-4531-81bf-9e2597068515,2024-06-29T14:30:08.639795,Jambuva Bridge,22.227754434605323,73.18864192058386,Truck,None,Drunk Driving,Major Injury,Clear,2,Harni,Major Injury accident at Jambuva Bridge involving Truck and None. Cause: Drunk Driving.
81f41290-891d-4940-bea7-450207de7b8b,2025-01-01T07:50:33.639795,Darjipura,22.32846512281928,73.24112096238979,Two-Wheeler,Truck,Stray Cattle,Minor Injury,Clear,0,Harni,Minor Injury accident at Darjipura involving Two-Wheeler and Truck. Cause: Stray Cattle.
b6a6a488-1c4e-43af-918f-05553dfb5c2e,2025-02-17T03:00:29.639795,Chhani Jakat Naka,22.353222106771298,73.18546439904483,Bus,Divider,Speeding,Minor Injury,Clear,0,Harni,Minor Injury accident at Chhani Jakat Naka involving Bus and Divider. Cause: Speeding.
98fbfa2c-6d67-428e-b14b-c8c14f2e59c7,2025-07-31T13:28:54.639795,Tarsali Bridge,22.246874349525807,73.20352091465824,Two-Wheeler,Divider,Speeding,Minor Injury,Clear,0,Makarpura,Minor Injury accident at Tarsali Bridge involving Two-Wheeler and Divider. Cause: Speeding.
4c6fa42a-a6dc-4006-8933-020d3e8149d8,2025-02-08T15:48:46.639795,Dena Intersection,22.333818518003422,73.24830223876361,Two-Wheeler,Car,Brake Failure,Property Damage Only,Clear,0,Harni,Property Damage Only accident at Dena Intersection involving Two-Wheeler and Car. Cause: Brake Failure.
534ce9b0-81fb-404e-ba73-87be04db7592,2025-12-28T16:03:04.639795,Chhani Jakat Naka,22.355885843721385,73.18411034206308,Pedestrian,Divider,Pothole,Major Injury,Clear,1,Harni,Major Injury accident at Chhani Jakat Naka involving Pedestrian and Divider. Cause: Pothole.
b9921fd9-d979-4055-a84c-cb55bddb48e0,2026-01-22T04:44:00.639795,Darjipura,22.32867693637737,73.23915062346664,Bus,Truck,Stray Cattle,Major Injury,Clear,1,Harni,Major Injury accident at Darjipura involving Bus and Truck. Cause: Stray Cattle.
27058fcb-0efa-4415-aab7-1a1ef088f5a2,2025-01-14T22:35:40.639795,Darjipura,22.329738908058363,73.2415301923659,Auto Rickshaw,Car,Pothole,Minor Injury,Clear,0,Harni,Minor Injury accident at Darjipura involving Auto Rickshaw and Car. Cause: Pothole.
5f7ff764-4755-4c5a-a7a2-6484e47fe334,2024-12-22T06:06:13.639795,Golden Chowkdi,22.346486323154696,73.23669853133703,Truck,Divider,Wrong Side Driving,Property Damage Only,Clear,0,Harni,Property Damage Only accident at Golden Chowkdi involving Truck and Divider. Cause: Wrong Side Driving.
1224fe40-180b-49b3-8b4f-5d7e524e3fad,2024-09-15T01:23:33.639795,Golden Chowkdi,22.344379157811115,73.23592362199713,Pedestrian,Tree,Overtaking,Fatal,Clear,2,Harni,Fatal accident at Golden Chowkdi involving Pedestrian and Tree. Cause: Overtaking.
5ccc5480-e46d-498d-9786-343e93d6ad0a,2024-05-19T12:37:49.639795,Darjipura,22.32958533759605,73.24131730082144,Two-Wheeler,Pedestrian,Brake Failure,Minor Injury,Clear,0,Harni,Minor Injury accident at Darjipura involving Two-Wheeler and Pedestrian. Cause: Brake Failure.
792c1f4b-c5f7-4c10-a824-93318b559b84,2024-12-27T03:21:06.639795,Dena Intersection,22.335673028960567,73.25121189092164,Two-Wheeler,Auto Rickshaw,Stray Cattle,Minor Injury,Clear,0,Harni,Minor Injury accident at Dena Intersection involving Two-Wheeler and Auto Rickshaw. Cause: Stray Cattle.
20ffc4f6-06e4-4b94-a7c6-6f1bc1388a4f,2024-04-05T21:21:43.639795,Dena Intersection,22.335137397176943,73.2510225775054,Car,Truck,Stray Cattle,Minor Injury,Clear,0,Harni,Minor Injury accident at Dena Intersection involving Car and Truck. Cause: Stray Cattle.
b0b95256-a617-4164-82c4-33d6e585ada3,2024-08-14T18:08:15.639795,Darjipura,22.32976949524317,73.23870992980586,Two-Wheeler,Divider,Wrong Side Driving,Major Injury,Clear,2,Harni,Major Injury accident at Darjipura involving Two-Wheeler and Divider. Cause: Wrong Side Driving.
c5161ecd-a12c-4261-aee1-011395fb64f4,2024-08-11T07:23:10.639795,Chhani Jakat Naka,22.355891437389662,73.18605911901938,Bus,Divider,Pothole,Fatal,Clear,2,Harni,Fatal accident at Chhani Jakat Naka involving Bus and Divider. Cause: Pothole.
84c37983-dbbc-4cf8-8c10-bb3e258c0f86,2025-01-29T03:14:26.639795,Jambuva Bridge,22.228862281209036,73.19166513770676,Truck,Two-Wheeler,Wrong Side Driving,Fatal,Clear,1,Harni,Fatal accident at Jambuva Bridge involving Truck and Two-Wheeler. Cause: Wrong Side Driving.
914ec7e0-2c3d-4016-b887-73f652bfe956,2025-03-27T13:54:01.639795,Darjipura,22.329108035804754,73.23920699855724,Auto Rickshaw,Car,Drunk Driving,Major Injury,Clear,2,Harni,Major Injury accident at Darjipura involving Auto Rickshaw and Car. Cause: Drunk Driving.
18409445-8f69-4930-9f53-a420c6c8b71a,2025-04-09T10:33:03.639795,Golden Chowkdi,22.343591052910252,73.23354433609525,Two-Wheeler,Two-Wheeler,Overtaking,Fatal,Clear,1,Harni,Fatal accident at Golden Chowkdi involving Two-Wheeler and Two-Wheeler. Cause: Overtaking.
f116ee9c-2064-486e-9734-0c280f795d65,2024-10-27T18:14:53.639795,Tarsali Bridge,22.24346426414707,73.2045102390447,Two-Wheeler,None,Brake Failure,Property Damage Only,Clear,0,Makarpura,Property Damage Only accident at Tarsali Bridge involving Two-Wheeler and None. Cause: Brake Failure.
a2b7f769-49a4-4e84-a6c5-3319d31a2c96,2025-10-18T20:06:33.639795,Kapurai Bridge (NH-48),22.257120674659674,73.21607668326234,Auto Rickshaw,Auto Rickshaw,Wrong Side Driving,Major Injury,Clear,1,Vadodara Rural,Major Injury accident at Kapurai Bridge (NH-48) involving Auto Rickshaw and Auto Rickshaw. Cause: Wrong Side Driving.
48dd457e-7d38-476e-9769-5cb5fc5563ca,2024-07-20T06:08:18.639795,Darjipura,22.329459701902543,73.2397763616625,Two-Wheeler,Truck,Brake Failure,Property Damage Only,Clear,0,Harni,Property Damage Only accident at Darjipura involving Two-Wheeler and Truck. Cause: Brake Failure.
0e72aa39-b5b6-423d-8a3d-e3c0b13323c5,2025-08-11T16:53:42.639795,Tarsali Bridge,22.245982484507223,73.20654098776747,Auto Rickshaw,Auto Rickshaw,Drunk Driving,Major Injury,Clear,2,Makarpura,Major Injury accident at Tarsali Bridge involving Auto Rickshaw and Auto Rickshaw. Cause: Drunk Driving.
390cb96f-12e7-476a-8cbe-50a406648e83,2024-05-24T13:56:04.639795,Kapurai Bridge (NH-48),22.25646966141825,73.21911053549289,Bus,Truck,Pothole,Major Injury,Clear,2,Vadodara Rural,Major Injury accident at Kapurai Bridge (NH-48) involving Bus and Truck. Cause: Pothole.
bfc839da-704e-4aeb-8eed-aa98a9bb249b,2024-07-03T22:32:40.639795,Chhani Jakat Naka,22.35512008429903,73.18575299683444,Bus,Car,Skidding due to rain,Fatal,Rainy,2,Harni,Fatal accident at Chhani Jakat Naka involving Bus and Car. Cause: Skidding due to rain.
bc4cb7e9-1f31-47c6-84e1-d590cfb4a6d4,2025-04-27T22:00:23.639795,Dena Intersection,22.33340505662094,73.24982205289672,Two-Wheeler,Bus,Overtaking,Major Injury,Clear,2,Harni,Major Injury accident at Dena Intersection involving Two-Wheeler and Bus. Cause: Overtaking.
923638c4-2abe-4963-9487-490043c39a5d,2024-08-08T06:50:45.639795,Golden Chowkdi,22.34505944916834,73.23491013360119,Auto Rickshaw,None,Stray Cattle,Major Injury,Clear,1,Harni,Major Injury accident at Golden Chowkdi involving Auto Rickshaw and None. Cause: Stray Cattle.
3bf964d6-58bf-4bd1-a2d4-eb6f04c84f1b,2024-05-28T04:44:27.639795,Tarsali Bridge,22.246539446892978,73.20510353268782,Bus,Bus,Drunk Driving,Property Damage Only,Clear,0,Makarpura,Property Damage Only accident at Tarsali Bridge involving Bus and Bus. Cause: Drunk Driving.
e41afbbc-7809-43f1-b344-82a7cc4fa2ca,2025-01-17T18:53:21.639795,Dena Intersection,22.334119576261738,73.2501373670358,Auto Rickshaw,Auto Rickshaw,Wrong Side Driving,Major Injury,Clear,2,Harni,Major Injury accident at Dena Intersection involving Auto Rickshaw and Auto Rickshaw. Cause: Wrong Side Driving.
43f4769d-2d58-4a5f-b37f-ae3b2bb7cc7c,2024-09-21T06:36:31.639795,Golden Chowkdi,22.345377963790266,73.2340628298764,Pedestrian,None,Stray Cattle,Major Injury,Clear,1,Harni,Major Injury accident at Golden Chowkdi involving Pedestrian and None. Cause: Stray Cattle.
d2c5af30-b278-434c-994b-45e7af445791,2024-07-31T00:31:28.639795,Tarsali Bridge,22.244538003509874,73.2034080815432,Two-Wheeler,Auto Rickshaw,Drunk Driving,Minor Injury,Clear,0,Makarpura,Minor Injury accident at Tarsali Bridge involving Two-Wheeler and Auto Rickshaw. Cause: Drunk Driving.
3b8f26f3-b929-47a1-9c8a-9150aa8c87fe,2024-06-22T08:23:31.639795,Tarsali Bridge,22.243480299550868,73.20309923434688,Auto Rickshaw,Truck,Brake Failure,Property Damage Only,Rainy,0,Makarpura,Property Damage Only accident at Tarsali Bridge involving Auto Rickshaw and Truck. Cause: Brake Failure.
840e9140-5760-407f-ad3c-c8ab0d1000d8,2024-07-30T15:48:20.639795,Chhani Jakat Naka,22.35409710559787,73.18432657555324,Auto Rickshaw,Pedestrian,Wrong Side Driving,Minor Injury,Clear,0,Harni,Minor Injury accident at Chhani Jakat Naka involving Auto Rickshaw and Pedestrian. Cause: Wrong Side Driving.
35e1b3a3-f5c2-41f7-9aae-96e178418d69,2024-10-14T13:31:34.639795,Chhani Jakat Naka,22.353928564199443,73.18687774554583,Car,Two-Wheeler,Overtaking,Minor Injury,Clear,0,Harni,Minor Injury accident at Chhani Jakat Naka involving Car and Two-Wheeler. Cause: Overtaking.
fb010617-3690-4b55-9c9b-5f1363048597,2025-09-17T20:51:44.639795,Padamla,22.381758796432017,73.14800692872808,Auto Rickshaw,Two-Wheeler,Wrong Side Driving,Minor Injury,Rainy,0,Vadodara Rural,Minor Injury accident at Padamla involving Auto Rickshaw and Two-Wheeler. Cause: Wrong Side Driving.
93c5678f-94b1-482b-a684-3a6fb85ba395,2025-02-12T09:02:43.639795,Darjipura,22.32845411464544,73.23973347048808,Pedestrian,Auto Rickshaw,Stray Cattle,Major Injury,Clear,1,Harni,Major Injury accident at Darjipura involving Pedestrian and Auto Rickshaw. Cause: Stray Cattle.
43f67a38-c11a-49bc-9a79-0731b07dce5d,2024-02-16T20:33:32.639795,Jambuva Bridge,22.22697860781448,73.19194873127779,Truck,Two-Wheeler,Stray Cattle,Fatal,Clear,2,Harni,Fatal accident at Jambuva Bridge involving Truck and Two-Wheeler. Cause: Stray Cattle.
09cc5e0e-6f82-428e-90f1-5347ef370fc3,2025-04-08T08:33:18.639795,Darjipura,22.32844284218713,73.241635238985,Auto Rickshaw,Tree,Wrong Side Driving,Property Damage Only,Clear,0,Harni,Property Damage Only accident at Darjipura involving Auto Rickshaw and Tree. Cause: Wrong Side Driving.
b3b84adf-36c0-4f83-9c8c-6dfc101a8dea,2024-06-28T20:04:53.639795,Darjipura,22.32915578292006,73.24123909772226,Two-Wheeler,Auto Rickshaw,Speeding,Major Injury,Clear,1,Harni,Major Injury accident at Darjipura involving Two-Wheeler and Auto Rickshaw. Cause: Speeding.
7327f22f-a963-4b5f-8f97-e1f7e8853014,2024-10-02T12:45:05.639795,Kapurai Bridge (NH-48),22.25862539551464,73.21712138997476,Car,Two-Wheeler,Stray Cattle,Property Damage Only,Clear,0,Vadodara Rural,Property Damage Only accident at Kapurai Bridge (NH-48) involving Car and Two-Wheeler. Cause: Stray Cattle.
041cd712-18e7-4c99-b2ce-398e010b1818,2025-03-01T02:10:41.639795,Jambuva Bridge,22.228279392623637,73.1884669961666,Car,Two-Wheeler,Drunk Driving,Minor Injury,Clear,0,Harni,Minor Injury accident at Jambuva Bridge involving Car and Two-Wheeler. Cause: Drunk Driving.
f5ec6fbb-2175-4fc3-8950-9edcf2c5f1d3,2025-02-01T15:40:51.639795,Darjipura,22.328443469202465,73.24164257605801,Pedestrian,Bus,Speeding,Minor Injury,Clear,0,Harni,Minor Injury accident at Darjipura involving Pedestrian and Bus. Cause: Speeding.
3ccf5c5b-a4a8-4770-9e37-53d98bc6fd9e,2026-01-02T21:43:27.639795,Kapurai Bridge (NH-48),22.25611343802694,73.21771805327361,Car,Car,Pothole,Property Damage Only,Clear,0,Vadodara Rural,Property Damage Only accident at Kapurai Bridge (NH-48) involving Car and Car. Cause: Pothole.
586abcba-4ab0-4e27-ba31-0221f90aacdf,2025-04-27T21:41:13.639795,Darjipura,22.328830954382774,73.2419111097697,Pedestrian,Car,Brake Failure,Minor Injury,Clear,0,Harni,Minor Injury accident at Darjipura involving Pedestrian and Car. Cause: Brake Failure.
e0068332-db07-446a-9c1f-1c05db58df20,2025-08-16T14:43:34.639795,Jambuva Bridge,22.22621734143085,73.19045989015085,Truck,Two-Wheeler,Overtaking,Minor Injury,Clear,0,Harni,Minor Injury accident at Jambuva Bridge involving Truck and Two-Wheeler. Cause: Overtaking.
e6ef762a-86aa-4403-a3cb-c6e5ad1b0d31,2025-08-14T07:08:57.639795,Padamla,22.379520417279924,73.14903365772645,Truck,Car,Wrong Side Driving,Fatal,Rainy,2,Vadodara Rural,Fatal accident at Padamla involving Truck and Car. Cause: Wrong Side Driving.
f48687cf-736b-43a8-8490-e29b9c7b676d,2024-05-28T13:04:49.639795,Kapurai Bridge (NH-48),22.258071878969925,73.2183631653497,Bus,Car,Wrong Side Driving,Major Injury,Clear,2,Vadodara Rural,Major Injury accident at Kapurai Bridge (NH-48) involving Bus and Car. Cause: Wrong Side Driving.
5e5b7873-8376-4c1e-894d-65f4a4d85022,2024-08-10T04:24:07.639795,Jambuva Bridge,22.227416480936533,73.19109954454161,Car,Truck,Stray Cattle,Minor Injury,Clear,0,Harni,Minor Injury accident at Jambuva Bridge involving Car and Truck. Cause: Stray Cattle.
b8865872-b92d-4420-9b78-86f67bd6ac26,2025-12-01T01:30:54.639795,Darjipura,22.329165128248416,73.241971177256,Bus,Tree,Speeding,Minor Injury,Clear,0,Harni,Minor Injury accident at Darjipura involving Bus and Tree. Cause: Speeding.
aea236aa-9e7e-4f4e-a820-04c00d74e17b,2024-05-28T13:18:19.639795,Kapurai Bridge (NH-48),22.258941966895005,73.21746587090416,Car,Car,Drunk Driving,Minor Injury,Clear,0,Vadodara Rural,Minor Injury accident at Kapurai Bridge (NH-48) involving Car and Car. Cause: Drunk Driving.
895bd617-6841-4752-b1d9-cd1bb35083ae,2025-02-07T22:44:14.639795,Dena Intersection,22.335321017520744,73.2494982925216,Car,Pedestrian,Stray Cattle,Fatal,Clear,2,Harni,Fatal accident at Dena Intersection involving Car and Pedestrian. Cause: Stray Cattle.
203910a3-a138-4e1d-9a5e-ba1aa5708ddd,2025-02-21T23:35:26.639795,Darjipura,22.330358080429427,73.23909953298045,Truck,Auto Rickshaw,Speeding,Major Injury,Clear,2,Harni,Major Injury accident at Darjipura involving Truck and Auto Rickshaw. Cause: Speeding.
9b273481-1ad9-4126-be97-4e0f108a3711,2025-09-27T06:30:08.639795,Jambuva Bridge,22.228153777000628,73.19058103814938,Two-Wheeler,Truck,Skidding due to rain,Major Injury,Rainy,1,Harni,Major Injury accident at Jambuva Bridge involving Two-Wheeler and Truck. Cause: Skidding due to rain.
a6dfe95c-2b0d-472c-b1ad-374a68211654,2024-10-01T00:00:36.639795,Tarsali Bridge,22.245769847665244,73.20691386004333,Bus,Tree,Drunk Driving,Minor Injury,Clear,0,Makarpura,Minor Injury accident at Tarsali Bridge involving Bus and Tree. Cause: Drunk Driving.
6c5e22db-b2e7-497c-b6e3-18f9a178d616,2024-10-06T12:46:56.639795,Kapurai Bridge (NH-48),22.259118427363966,73.21781046063032,Car,Divider,Overtaking,Major Injury,Clear,1,Vadodara Rural,Major Injury accident at Kapurai Bridge (NH-48) involving Car and Divider. Cause: Overtaking.
79a442ec-3349-45d6-918f-11a875ed872f,2025-06-15T08:38:13.639795,Chhani Jakat Naka,22.355042343241966,73.1841544914216,Car,None,Speeding,Fatal,Clear,2,Harni,Fatal accident at Chhani Jakat Naka involving Car and None. Cause: Speeding.
f4efa660-c63c-4824-8629-053b132b4620,2025-11-08T01:00:50.639795,Dena Intersection,22.33361621227856,73.25010386634672,Pedestrian,Two-Wheeler,Drunk Driving,Minor Injury,Clear,0,Harni,Minor Injury accident at Dena Intersection involving Pedestrian and Two-Wheeler. Cause: Drunk Driving.
