date,zone,zone_name,zone_type,PM2.5,PM10,NO2,SO2,AQI,Category
2020-01-01,North,Nandesari (Industrial),Industrial,72.99,161.21,67.63,6.04,187,Moderate
2020-01-01,South,Makarpura (GIDC),Industrial,62.97,162.82,66.93,4.23,161,Moderate
2020-01-01,East,Waghodia/Ajwa Rd,Developing/Commercial,52.28,148.4,50.67,2.67,146,Moderate
2020-01-01,West,Alkapuri/Old Padra,Residential,43.68,106.26,39.75,1.37,116,Moderate
2020-01-01,Central,Sayajigunj/Mandvi,Commercial/Traffic,68.63,153.35,69.97,2.7,161,Moderate
2020-01-02,North,Nandesari (Industrial),Industrial,84.02,193.25,85.93,6.86,208,Poor
2020-01-02,South,Makarpura (GIDC),Industrial,70.89,174.7,73.92,4.54,189,Moderate
2020-01-02,East,Waghodia/Ajwa Rd,Developing/Commercial,60.0,174.09,59.43,2.35,149,Moderate
2020-01-02,West,Alkapuri/Old Padra,Residential,50.37,116.67,48.52,1.31,134,Moderate
2020-01-02,Central,Sayajigunj/Mandvi,Commercial/Traffic,62.48,168.94,80.95,2.89,178,Moderate
2020-01-03,North,Nandesari (Industrial),Industrial,134.56,300.57,69.24,15.16,317,Very Poor
2020-01-03,South,Makarpura (GIDC),Industrial,115.05,273.63,60.91,9.93,311,Very Poor
2020-01-03,East,Waghodia/Ajwa Rd,Developing/Commercial,109.06,265.47,51.77,6.37,250,Poor
2020-01-03,West,Alkapuri/Old Padra,Residential,93.16,191.82,45.15,2.87,218,Poor
2020-01-03,Central,Sayajigunj/Mandvi,Commercial/Traffic,116.35,269.12,60.48,6.48,293,Poor
2020-01-04,North,Nandesari (Industrial),Industrial,104.3,183.9,44.95,15.11,244,Poor
2020-01-04,South,Makarpura (GIDC),Industrial,82.77,174.09,43.12,12.18,224,Poor
2020-01-04,East,Waghodia/Ajwa Rd,Developing/Commercial,79.16,161.77,34.79,5.92,185,Moderate
2020-01-04,West,Alkapuri/Old Padra,Residential,60.63,102.24,30.1,3.09,151,Moderate
2020-01-04,Central,Sayajigunj/Mandvi,Commercial/Traffic,80.67,150.39,41.32,6.37,191,Moderate
2020-01-05,North,Nandesari (Industrial),Industrial,102.95,133.84,51.96,13.47,249,Poor
2020-01-05,South,Makarpura (GIDC),Industrial,87.66,138.3,45.67,9.47,245,Poor
2020-01-05,East,Waghodia/Ajwa Rd,Developing/Commercial,85.35,138.17,36.35,5.31,197,Moderate
2020-01-05,West,Alkapuri/Old Padra,Residential,62.22,98.13,31.14,2.83,169,Moderate
2020-01-05,Central,Sayajigunj/Mandvi,Commercial/Traffic,81.54,132.85,50.48,6.18,221,Poor
2020-01-06,North,Nandesari (Industrial),Industrial,86.59,165.7,56.1,18.99,202,Poor
2020-01-06,South,Makarpura (GIDC),Industrial,67.28,138.7,44.48,13.36,183,Moderate
2020-01-06,East,Waghodia/Ajwa Rd,Developing/Commercial,56.77,125.17,42.44,8.32,145,Moderate
2020-01-06,West,Alkapuri/Old Padra,Residential,47.04,94.95,30.33,4.15,131,Moderate
2020-01-06,Central,Sayajigunj/Mandvi,Commercial/Traffic,64.31,130.66,48.98,7.99,170,Moderate
2020-01-07,North,Nandesari (Industrial),Industrial,72.62,180.05,45.18,13.66,184,Moderate
2020-01-07,South,Makarpura (GIDC),Industrial,63.2,173.78,38.77,11.39,179,Moderate
2020-01-07,East,Waghodia/Ajwa Rd,Developing/Commercial,61.99,141.43,37.15,5.87,142,Moderate
2020-01-07,West,Alkapuri/Old Padra,Residential,46.54,112.42,30.73,2.79,117,Moderate
2020-01-07,Central,Sayajigunj/Mandvi,Commercial/Traffic,66.36,166.14,47.21,5.82,154,Moderate
2020-01-08,North,Nandesari (Industrial),Industrial,110.54,201.11,76.64,19.04,294,Poor
2020-01-08,South,Makarpura (GIDC),Industrial,100.57,180.51,72.25,14.23,265,Poor
2020-01-08,East,Waghodia/Ajwa Rd,Developing/Commercial,90.62,174.38,55.54,7.98,215,Poor
2020-01-08,West,Alkapuri/Old Padra,Residential,68.66,110.77,48.06,3.75,193,Moderate
2020-01-08,Central,Sayajigunj/Mandvi,Commercial/Traffic,93.76,192.68,70.91,8.44,253,Poor
2020-01-09,North,Nandesari (Industrial),Industrial,182.24,223.14,52.36,11.88,433,Severe
2020-01-09,South,Makarpura (GIDC),Industrial,157.96,243.04,40.58,7.7,429,Severe
2020-01-09,East,Waghodia/Ajwa Rd,Developing/Commercial,132.65,208.52,35.93,4.91,348,Very Poor
2020-01-09,West,Alkapuri/Old Padra,Residential,113.24,148.34,27.47,2.37,288,Poor
2020-01-09,Central,Sayajigunj/Mandvi,Commercial/Traffic,150.64,245.25,46.04,4.8,372,Very Poor
2020-01-10,North,Nandesari (Industrial),Industrial,97.46,235.55,64.73,7.84,251,Poor
2020-01-10,South,Makarpura (GIDC),Industrial,95.1,195.69,60.67,5.8,231,Poor
2020-01-10,East,Waghodia/Ajwa Rd,Developing/Commercial,72.03,191.37,47.68,3.08,191,Moderate
2020-01-10,West,Alkapuri/Old Padra,Residential,58.08,152.98,38.58,1.58,164,Moderate
2020-01-10,Central,Sayajigunj/Mandvi,Commercial/Traffic,86.39,215.85,65.39,3.2,214,Poor
2020-01-11,North,Nandesari (Industrial),Industrial,71.67,154.17,75.31,13.48,186,Moderate
2020-01-11,South,Makarpura (GIDC),Industrial,68.14,156.05,62.17,11.06,163,Moderate
2020-01-11,East,Waghodia/Ajwa Rd,Developing/Commercial,51.52,140.67,50.73,5.79,139,Moderate
2020-01-11,West,Alkapuri/Old Padra,Residential,51.79,97.55,49.13,2.76,118,Moderate
2020-01-11,Central,Sayajigunj/Mandvi,Commercial/Traffic,62.47,138.65,68.21,5.69,155,Moderate
2020-01-12,North,Nandesari (Industrial),Industrial,141.24,217.99,65.19,6.9,347,Very Poor
2020-01-12,South,Makarpura (GIDC),Industrial,117.91,214.11,54.71,5.03,307,Very Poor
2020-01-12,East,Waghodia/Ajwa Rd,Developing/Commercial,99.07,176.5,44.92,2.9,258,Poor
2020-01-12,West,Alkapuri/Old Padra,Residential,91.61,147.35,37.45,1.31,218,Poor
2020-01-12,Central,Sayajigunj/Mandvi,Commercial/Traffic,115.54,218.61,54.99,2.78,300,Poor
2020-01-13,North,Nandesari (Industrial),Industrial,113.62,144.8,67.52,11.85,288,Poor
2020-01-13,South,Makarpura (GIDC),Industrial,110.98,133.05,57.66,7.98,274,Poor
2020-01-13,East,Waghodia/Ajwa Rd,Developing/Commercial,98.41,135.58,50.58,4.96,230,Poor
2020-01-13,West,Alkapuri/Old Padra,Residential,87.16,95.36,35.25,2.23,189,Moderate
2020-01-13,Central,Sayajigunj/Mandvi,Commercial/Traffic,92.83,152.99,65.0,4.92,255,Poor
2020-01-14,North,Nandesari (Industrial),Industrial,85.5,231.24,90.45,18.62,224,Poor
2020-01-14,South,Makarpura (GIDC),Industrial,75.35,221.29,75.56,12.16,198,Moderate
2020-01-14,East,Waghodia/Ajwa Rd,Developing/Commercial,69.3,197.15,64.25,7.18,173,Moderate
2020-01-14,West,Alkapuri/Old Padra,Residential,55.48,136.41,49.91,3.67,136,Moderate
2020-01-14,Central,Sayajigunj/Mandvi,Commercial/Traffic,75.09,176.55,75.55,6.87,192,Moderate
2020-01-15,North,Nandesari (Industrial),Industrial,95.84,152.71,76.91,9.83,224,Poor
2020-01-15,South,Makarpura (GIDC),Industrial,90.31,149.58,74.06,6.48,209,Poor
2020-01-15,East,Waghodia/Ajwa Rd,Developing/Commercial,66.53,144.47,56.61,4.0,177,Moderate
2020-01-15,West,Alkapuri/Old Padra,Residential,55.99,103.38,48.15,1.75,156,Moderate
2020-01-15,Central,Sayajigunj/Mandvi,Commercial/Traffic,84.55,157.05,80.8,4.57,202,Poor
2020-01-16,North,Nandesari (Industrial),Industrial,73.24,201.24,80.31,8.51,207,Poor
2020-01-16,South,Makarpura (GIDC),Industrial,77.54,179.94,73.68,5.68,192,Moderate
2020-01-16,East,Waghodia/Ajwa Rd,Developing/Commercial,62.15,186.86,57.42,3.22,158,Moderate
2020-01-16,West,Alkapuri/Old Padra,Residential,47.79,122.72,49.34,1.77,137,Moderate
2020-01-16,Central,Sayajigunj/Mandvi,Commercial/Traffic,64.0,187.95,74.55,3.93,180,Moderate
2020-01-17,North,Nandesari (Industrial),Industrial,93.49,214.84,55.54,12.7,241,Poor
2020-01-17,South,Makarpura (GIDC),Industrial,84.24,195.18,44.54,9.19,211,Poor
2020-01-17,East,Waghodia/Ajwa Rd,Developing/Commercial,66.96,192.46,37.38,4.21,175,Moderate
2020-01-17,West,Alkapuri/Old Padra,Residential,64.4,125.08,33.77,2.47,155,Moderate
2020-01-17,Central,Sayajigunj/Mandvi,Commercial/Traffic,72.31,197.44,56.36,4.72,204,Poor
2020-01-18,North,Nandesari (Industrial),Industrial,100.9,161.58,64.63,17.96,281,Poor
2020-01-18,South,Makarpura (GIDC),Industrial,93.46,168.35,61.69,14.05,244,Poor
2020-01-18,East,Waghodia/Ajwa Rd,Developing/Commercial,88.95,160.84,55.8,7.52,206,Poor
2020-01-18,West,Alkapuri/Old Padra,Residential,66.78,101.26,39.88,3.63,181,Moderate
2020-01-18,Central,Sayajigunj/Mandvi,Commercial/Traffic,94.28,156.29,64.76,7.7,224,Poor
2020-01-19,North,Nandesari (Industrial),Industrial,101.74,143.82,63.4,14.11,276,Poor
2020-01-19,South,Makarpura (GIDC),Industrial,112.19,151.78,47.38,10.32,245,Poor
2020-01-19,East,Waghodia/Ajwa Rd,Developing/Commercial,93.76,139.78,47.65,5.95,223,Poor
2020-01-19,West,Alkapuri/Old Padra,Residential,68.85,99.01,38.67,3.19,175,Moderate
2020-01-19,Central,Sayajigunj/Mandvi,Commercial/Traffic,93.84,132.11,55.87,7.17,238,Poor
2020-01-20,North,Nandesari (Industrial),Industrial,81.7,184.32,78.6,6.77,180,Moderate
2020-01-20,South,Makarpura (GIDC),Industrial,73.47,145.85,73.65,4.5,177,Moderate
2020-01-20,East,Waghodia/Ajwa Rd,Developing/Commercial,61.83,155.5,62.06,2.66,139,Moderate
2020-01-20,West,Alkapuri/Old Padra,Residential,48.36,109.03,48.59,1.31,124,Moderate
2020-01-20,Central,Sayajigunj/Mandvi,Commercial/Traffic,66.07,164.56,78.77,2.64,159,Moderate
2020-01-21,North,Nandesari (Industrial),Industrial,107.6,225.41,87.68,7.81,243,Poor
2020-01-21,South,Makarpura (GIDC),Industrial,89.31,236.75,75.49,6.63,225,Poor
2020-01-21,East,Waghodia/Ajwa Rd,Developing/Commercial,73.14,193.1,65.23,3.25,181,Moderate
2020-01-21,West,Alkapuri/Old Padra,Residential,60.57,129.61,47.38,1.57,154,Moderate
2020-01-21,Central,Sayajigunj/Mandvi,Commercial/Traffic,81.93,222.22,73.46,3.65,210,Poor
2020-01-22,North,Nandesari (Industrial),Industrial,75.77,208.01,44.97,16.13,205,Poor
2020-01-22,South,Makarpura (GIDC),Industrial,70.52,201.15,41.55,10.01,195,Moderate
2020-01-22,East,Waghodia/Ajwa Rd,Developing/Commercial,60.74,168.92,36.23,6.06,165,Moderate
2020-01-22,West,Alkapuri/Old Padra,Residential,51.4,137.63,28.41,2.88,133,Moderate
